Nodes,Dijkstra,BMSSP,Mistakes
1000,1470005,6323065,0
2000,2116855,11406730,0
3000,2486485,13638535,0
4000,3110075,18271400,0
5000,5122810,26719520,0
6000,4946690,26474775,0
7000,5768655,30669340,0
8000,6059560,36598685,0
9000,7594640,44292895,0
10000,8253605,44580820,0
11000,8413475,52570050,0
12000,9773250,50207640,0
13000,10474675,54834020,0
14000,11977125,61220475,0
15000,11656640,62521820,0
16000,12676460,63622330,0
17000,13363500,68975185,0
18000,14082405,73496340,0
19000,15049650,74681765,0
20000,13823925,75711140,0
21000,15123090,80629450,0
22000,14929055,78836455,0
23000,17041355,86657515,0
24000,17278155,88058495,0
25000,18561550,90389345,0
26000,19603755,96428570,0
27000,19108025,106340140,0
28000,19526825,100095625,0
29000,19334400,111876545,0
30000,20307560,113543190,0
31000,20691590,118459570,0
32000,20093035,113051855,0
33000,22571190,119451375,0
34000,22327065,129658060,0
35000,24060635,134886440,0
36000,25562875,128839410,0
37000,24828020,134427900,0
38000,26388930,138781030,0
39000,27066225,139867090,0
40000,27063270,150655785,0
41000,29694145,146379325,0
42000,31071425,151209950,0
43000,31139690,163286370,0
44000,31126585,161428160,0
45000,30308505,161475635,0
46000,30710525,169266715,0
47000,33490200,166847665,0
48000,34689965,181120230,0
49000,36111820,185282610,0
50000,38318560,189231880,0
51000,40160560,200476335,0
52000,42612000,217383090,0
53000,42153840,199903715,0
54000,52459410,220374195,0
55000,48238780,219223540,0
56000,48635400,239157155,0
57000,47506480,241553170,0
58000,43737975,243026715,0
59000,46629410,238062770,0
60000,49652085,227582155,0
61000,52174385,231584240,0
62000,52089110,231187585,0
63000,56686885,265871315,0
64000,57861125,256822490,0
65000,57891480,273973545,0
66000,57754225,257819555,0
67000,60393375,291635540,0
68000,61009095,260489535,0
69000,60379710,282392420,0
70000,65560670,276566340,0
71000,63259420,295804440,0
72000,65531575,294431050,0
73000,64397290,299304195,0
74000,71133320,305408650,0
75000,67009945,291692135,0
76000,67469765,308126650,0
77000,67974450,309060880,0
78000,77205640,320805780,0
79000,72411375,320058570,0
80000,69382525,315710265,0
81000,71125005,301262030,0
82000,77090565,334108580,0
83000,73847000,335334025,0
84000,79847080,321018535,0
85000,82046095,344845605,0
86000,83537485,329935010,0
87000,79930465,338748295,0
88000,82678585,348991310,0
89000,83546555,358144655,0
90000,81046470,340266925,0
91000,91231835,348184290,0
92000,87028580,347066910,0
93000,84421955,380854300,0
94000,86824545,347020005,0
95000,95020270,404782300,0
96000,87065780,368300115,0
97000,90126515,398016425,0
98000,88029690,351715410,0
99000,88589315,352112680,0
100000,91005285,379588975,0
101000,90739845,378463740,0
102000,103569070,431483815,0
103000,106742855,415826515,0
104000,115230170,404823645,0
105000,108823130,424991195,0
106000,100743110,407560540,0
107000,120351710,539365925,0
108000,114908915,472872040,0
109000,110703100,442356925,0
110000,115786370,416012235,0
111000,117137090,465581870,0
112000,113509105,464384295,0
113000,132452555,500917945,0
114000,112295960,461357330,0
115000,122859555,479888425,0
116000,127387065,517446505,0
117000,134641860,520287680,0
118000,134842955,576442910,0
119000,144772925,511725415,0
120000,133070350,507736895,0
121000,120453620,497154225,0
122000,124654775,464264095,0
123000,127980970,473366080,0
124000,119819125,473658665,0
125000,133726650,492228045,0
126000,128261665,491967490,0
127000,130605595,514007875,0
128000,133610300,504803245,0
129000,136347950,526128075,0
130000,128963415,522030385,0
131000,139846165,568442285,0
132000,135997500,567503560,0
133000,140407925,525844935,0
134000,155006800,599371605,0
135000,138058505,532458550,0
136000,140884820,538004730,0
137000,150010310,581955410,0
138000,155062175,599276340,0
139000,139824550,548069800,0
140000,157503910,555323545,0
141000,148307810,529270915,0
142000,134974980,505527585,0
143000,161611370,591968545,0
144000,148112515,586632555,0
145000,159421585,633536725,0
146000,151236745,540520035,0
147000,170315450,691955975,0
148000,151499080,582194365,0
149000,168019865,591546295,0
150000,164798495,616234165,0
151000,167271355,611556895,0
152000,155934205,604089750,0
153000,150134555,560699945,0
154000,156203850,577928210,0
155000,163013120,573101205,0
156000,163585150,564765585,0
157000,170564475,597624845,0
158000,166093840,630071365,0
159000,194489615,702216970,0
160000,168256470,674250365,0
161000,183067235,648696740,0
162000,184284165,672855975,0
163000,184411300,726526760,0
164000,188295795,737365560,0
165000,191449690,711616490,0
166000,183779170,661478150,0
167000,185781835,724971600,0
168000,207960920,860777185,0
169000,191303650,750579240,0
170000,181473320,687701395,0
171000,184456105,728460440,0
172000,185879650,698907860,0
173000,181775240,713976750,0
174000,192702630,712634225,0
175000,191426395,681853405,0
176000,186507050,693283095,0
177000,189454570,742870800,0
178000,201444880,731233360,0
179000,199342600,741376000,0
180000,216757820,786878250,0
181000,184994220,705760325,0
182000,188636455,721579780,0
183000,192892125,667514000,0
184000,199851055,728062710,0
185000,198673255,770262885,0
186000,205932125,687536920,0
187000,198339830,697603810,0
188000,199293100,811563685,0
189000,228677770,861414390,0
190000,217056115,871342620,0
191000,220507830,783571525,0
192000,215003015,801265505,0
193000,225807545,822575725,0
194000,222903380,868145805,0
195000,236349635,833709510,0
196000,204122730,721448865,0
197000,222977170,814556920,0
198000,234349675,805294805,0
199000,236876360,875142710,0
200000,236520040,955499720,0
201000,257618755,857701120,0
202000,241773970,875904395,0
203000,248828960,869239405,0
204000,249943710,891323250,0
205000,248222945,919924575,0
206000,271107930,928226005,0
207000,267764425,942298755,0
208000,242616155,872389150,0
209000,232153125,876836355,0
210000,276481165,958656885,0
211000,253662565,875014920,0
212000,247094160,899420130,0
213000,244014000,863651535,0
214000,236618200,899647180,0
215000,244565285,911192350,0
216000,245366810,860601490,0
217000,242804525,913954140,0
218000,243899495,864962030,0
219000,249390765,935535425,0
220000,246337870,924830880,0
221000,251984700,844669670,0
222000,291353750,989283415,0
223000,278643480,975390160,0
224000,289112785,1059966995,0
225000,268262195,1027673385,0
226000,286223110,947564060,0
227000,279005570,956339105,0
228000,265728380,932904540,0
229000,273859330,1012053450,0
230000,288172765,1038294575,0
231000,287572450,1003602980,0
232000,282914085,1020546465,0
233000,268748955,939545645,0
234000,283471755,1011256030,0
235000,299836730,992019200,0
236000,294634780,1092447085,0
237000,297750055,1009251220,0
238000,300688510,1058216485,0
239000,293663800,1024949895,0
240000,314111710,1154133925,0
241000,321348980,1205423680,0
242000,289728880,1021243095,0
243000,310232575,1097574920,0
244000,297230715,1030900565,0
245000,287751975,1087245870,0
246000,300632995,1132541460,0
247000,319655540,1029798165,0
248000,301006590,1099135155,0
249000,300166360,1137848850,0
250000,305757785,1131168625,0
251000,326611140,1054540375,0
252000,315769045,1066017635,0
253000,324404480,1134116690,0
254000,304771115,1099921085,0
255000,317412865,1051695610,0
256000,330197570,1082346855,0
257000,313474210,1059314615,0
258000,312214325,1149244735,0
259000,322342250,1098345730,0
260000,335037705,1161297190,0
261000,347815060,1280714765,0
262000,331523725,1235088360,0
263000,336505650,1280600570,0
264000,367321435,1346879595,0
265000,334752920,1393907115,0
266000,358813785,1357792820,0
267000,311134630,1233123620,0
268000,318647140,1311235185,0
269000,316723760,1221794230,0
270000,325359595,1235295735,0
271000,324745145,1227914250,0
272000,318288105,1356896760,0
273000,328904235,1341876640,0
274000,363953860,1381770645,0
275000,341150520,1402725175,0
276000,330797490,1404641615,0
277000,327313345,1358408675,0
278000,344194210,1391639530,0
279000,336361165,1301772340,0
280000,324517125,1270955375,0
281000,347021760,1258831220,0
282000,330197050,1436104690,0
283000,345794910,1294814775,0
284000,337830950,1409293215,0
285000,337837810,1287024685,0
286000,334527850,1308802715,0
