Nodes,Dijkstra,BMSSP,Mistakes
50000,19653835,140667275,0
100000,50772425,283395605,0
150000,85518590,428023385,0
200000,116895190,559481735,0
250000,149016385,687844180,0
300000,193151515,951089490,0
350000,227571360,1079602680,0
400000,273721750,1240393685,0
450000,328261920,1444297300,0
500000,359480045,1568958335,0
550000,405178950,1797809090,0
600000,476788130,2021275065,0
650000,519617065,2348970845,0
700000,595075425,2537600155,0
750000,589231720,2440846445,0
800000,663670750,2715828905,0
850000,687990765,2790784765,0
900000,765768370,2959724780,0
950000,826110515,3062544180,0
1000000,857837840,3400897265,0
